bloque,categoria_de_recomendacion,recomendacion,que_dicen_las_guias_del_bloque,consenso_del_bloque,n_guias_con_recomendacion,n_guias_bloque,cobertura,guias_con_recomendacion,accion_dominante_bloque,perfil_acciones_bloque,senal_comparativa_global,prioridad_revision,relevancia_spec,total_recomendaciones_global,recomendaciones_en_bloque
Bloque alto: AGREE-II >60%,"Safety, adverse effects and physical health",Antipsychotic adverse-effect management,"APA 2020: recomienda (8 recs; recomienda=7; en contra/no hacer=1). Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos. VA/DoD 2024: considera/sugiere (2 recs; considera/sugiere=2). Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos.",Alto: 2/2 (100%); discordante; accion dominante: recomienda; recomienda=7; considera/sugiere=2; en contra/no hacer=1,2,2,100%,APA 2020; VA/DoD 2024,recomienda,recomienda=7; considera/sugiere=2; en contra/no hacer=1,mixed/discordant,high,core,19,10
Bloque alto: AGREE-II >60%,"Safety, adverse effects and physical health","Weight management, lifestyle and metformin","APA 2020: evalua/monitoriza (1 rec; evalua/monitoriza=1). Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo. VA/DoD 2024: considera/sugiere (1 rec; considera/sugiere=1). Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo.",Alto: 2/2 (100%); discordante; accion dominante: considera/sugiere; considera/sugiere=1; evalua/monitoriza=1,2,2,100%,APA 2020; VA/DoD 2024,considera/sugiere,considera/sugiere=1; evalua/monitoriza=1,mixed/discordant,high,supportive,12,2
Bloque alto: AGREE-II >60%,Functional rehabilitation and participation,"Supported employment, education and vocational rehabilitation","APA 2020: recomienda (3 recs; recomienda=2; considera/sugiere=1). Ofrecer empleo apoyado/IPS a quienes desean trabajar o volver a estudiar/trabajar; considerar apoyo educativo, vocacional o prevocacional si no puede acceder aun a empleo competitivo. VA/DoD 2024: recomienda (5 recs; recomienda=2; considera/sugiere=2; en contra/no hacer=1). Ofrecer empleo apoyado/IPS a quienes desean trabajar o volver a estudiar/trabajar; considerar apoyo educativo, vocacional o prevocacional si no puede acceder aun a empleo competitivo.",Alto: 2/2 (100%); discordante; accion dominante: recomienda; recomienda=4; considera/sugiere=3; en contra/no hacer=1,2,2,100%,APA 2020; VA/DoD 2024,recomienda,recomienda=4; considera/sugiere=3; en contra/no hacer=1,mixed/discordant,high,supportive,20,8
Bloque alto: AGREE-II >60%,"Safety, adverse effects and physical health",Smoking cessation and tobacco,"APA 2020: considera/sugiere (1 rec; considera/sugiere=1). Evaluar tabaco y ofrecer apoyo personalizado para dejar o reducir consumo, incluyendo intervenciones conductuales, NRT u otros farmacos cuando correspondan; considerar interacciones con metabolismo de antipsicoticos. VA/DoD 2024: recomienda (2 recs; recomienda=2). Evaluar tabaco y ofrecer apoyo personalizado para dejar o reducir consumo, incluyendo intervenciones conductuales, NRT u otros farmacos cuando correspondan; considerar interacciones con metabolismo de antipsicoticos.",Alto: 2/2 (100%); discordante; accion dominante: recomienda; recomienda=2; considera/sugiere=1,2,2,100%,APA 2020; VA/DoD 2024,recomienda,recomienda=2; considera/sugiere=1,mixed/discordant,high,peripheral,9,3
Bloque alto: AGREE-II >60%,"Service delivery, continuity and implementation","Primary care transition, discharge and follow-up continuity","APA 2020: ofrece (1 rec; ofrece=1). Planificar alta, continuidad y opcion de auto-derivacion; comunicar responsabilidades a atencion primaria; usar equipos de crisis/tratamiento domiciliario para evitar ingresos o facilitar alta segura. Sin recomendacion retenida: VA/DoD 2024.",Moderado: 1/2 (50%); alineado/escaso; accion dominante: ofrece; ofrece=1,1,2,50%,APA 2020,ofrece,ofrece=1,mostly aligned or sparse,low,supportive,10,1
Bloque alto: AGREE-II >60%,Treatment resistance and biological interventions,Clozapine safety and monitoring,"APA 2020: considera/sugiere (2 recs; considera/sugiere=2). Usar clozapina bajo supervision especializada con disponibilidad de laboratorios; monitorizar hemograma, niveles plasmaticos, adherencia y efectos adversos; planificar discontinuacion por riesgo de rebote o recaida. VA/DoD 2024: considera/sugiere (1 rec; considera/sugiere=1). Usar clozapina bajo supervision especializada con disponibilidad de laboratorios; monitorizar hemograma, niveles plasmaticos, adherencia y efectos adversos; planificar discontinuacion por riesgo de rebote o recaida.",Alto: 2/2 (100%); alineado/escaso; accion dominante: considera/sugiere; considera/sugiere=3,2,2,100%,APA 2020; VA/DoD 2024,considera/sugiere,considera/sugiere=3,mostly aligned or sparse,low,core,9,3
Bloque alto: AGREE-II >60%,Psychosocial and recovery interventions,"Social skills, recovery and self-management","APA 2020: considera/sugiere (9 recs; considera/sugiere=9). Considerar programas manualizados de automanejo, apoyo de pares y recuperacion; incluir informacion sobre medicacion, recaida y metas; el entrenamiento de habilidades sociales no se recomienda de rutina como intervencion aislada en algunas guias. VA/DoD 2024: considera/sugiere (1 rec; considera/sugiere=1). Considerar programas manualizados de automanejo, apoyo de pares y recuperacion; incluir informacion sobre medicacion, recaida y metas; el entrenamiento de habilidades sociales no se recomienda de rutina como intervencion aislada en algunas guias.",Alto: 2/2 (100%); discordante; accion dominante: considera/sugiere; considera/sugiere=10,2,2,100%,APA 2020; VA/DoD 2024,considera/sugiere,considera/sugiere=10,mixed/discordant,high,supportive,18,10
Bloque alto: AGREE-II >60%,"Service delivery, continuity and implementation","ACT, case management and community service models","APA 2020: recomienda (10 recs; recomienda=6; evalua/monitoriza=4). Usar ACT, manejo intensivo de casos o atencion comunitaria coordinada cuando hay mala vinculacion, recaidas frecuentes, disrupcion social, falta de vivienda o alta necesidad de continuidad. VA/DoD 2024: recomienda (1 rec; recomienda=1). Usar ACT, manejo intensivo de casos o atencion comunitaria coordinada cuando hay mala vinculacion, recaidas frecuentes, disrupcion social, falta de vivienda o alta necesidad de continuidad.",Alto: 2/2 (100%); alineado/escaso; accion dominante: recomienda; recomienda=7; evalua/monitoriza=4,2,2,100%,APA 2020; VA/DoD 2024,recomienda,recomienda=7; evalua/monitoriza=4,mostly aligned or sparse,low,supportive,16,11
Bloque alto: AGREE-II >60%,"Assessment, risk and shared decision-making","Risk assessment: suicide, aggression and immediate safety","APA 2020: evalua/monitoriza (1 rec; evalua/monitoriza=1). Evaluar suicidio, autoagresion, agresion, violencia y seguridad inmediata en la valoracion; activar rutas de crisis o guias de autolesion cuando haya riesgo. Sin recomendacion retenida: VA/DoD 2024.",Moderado: 1/2 (50%); alineado/escaso; accion dominante: evalua/monitoriza; evalua/monitoriza=1,1,2,50%,APA 2020,evalua/monitoriza,evalua/monitoriza=1,mostly aligned or sparse,low,core,4,1
Bloque alto: AGREE-II >60%,"Assessment, risk and shared decision-making",Shared decision-making and patient preferences,"VA/DoD 2024: recomienda (2 recs; recomienda=1; evalua/monitoriza=1). Tomar decisiones con la persona y, si consiente, cuidadores; discutir beneficios, efectos adversos y preferencias; acordar planes de medicacion, transicion y objetivos de tratamiento. Sin recomendacion retenida: APA 2020.",Moderado: 1/2 (50%); alineado/escaso; accion dominante: recomienda; recomienda=1; evalua/monitoriza=1,1,2,50%,VA/DoD 2024,recomienda,recomienda=1; evalua/monitoriza=1,mostly aligned or sparse,low,core,7,2
Bloque alto: AGREE-II >60%,Early psychosis and acute care,"Acute agitation, rapid tranquillisation and crisis setting",Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); discordante; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mixed/discordant,high,core,16,0
Bloque alto: AGREE-II >60%,Comorbidity and special populations,Negative symptoms,"VA/DoD 2024: considera/sugiere (2 recs; considera/sugiere=2). Evaluar sintomas negativos y causas secundarias como depresion, EPS, sedacion o sustancias; considerar intervenciones psicosociales/artisticas y, si se cambia antipsicotico, opciones como agonistas parciales D2 o amisulprida segun contexto. Sin recomendacion retenida: APA 2020.",Moderado: 1/2 (50%); alineado/escaso; accion dominante: considera/sugiere; considera/sugiere=2,1,2,50%,VA/DoD 2024,considera/sugiere,considera/sugiere=2,mostly aligned or sparse,low,supportive,7,2
Bloque alto: AGREE-II >60%,Comorbidity and special populations,"Culture, equity, age and other special populations",Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,peripheral,8,0
Bloque alto: AGREE-II >60%,Early psychosis and acute care,At-risk mental state and prevention of psychosis,VA/DoD 2024: considera/sugiere (2 recs; considera/sugiere=2). Usar evaluacion especializada y herramientas de tamizaje para riesgo de transicion; ofrecer apoyo psicologico/familiar y seguimiento temprano; no usar antipsicoticos de rutina solo por estado de alto riesgo. Sin recomendacion retenida: APA 2020.,Moderado: 1/2 (50%); discordante; accion dominante: considera/sugiere; considera/sugiere=2,1,2,50%,VA/DoD 2024,considera/sugiere,considera/sugiere=2,mixed/discordant,high,supportive,4,2
Bloque alto: AGREE-II >60%,Treatment resistance and biological interventions,ECT and other biological treatments,Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,supportive,4,0
Bloque alto: AGREE-II >60%,Psychosocial and recovery interventions,"Cognitive remediation, metacognitive and social cognition training","APA 2020: considera/sugiere (4 recs; considera/sugiere=4). Considerar entrenamiento neurocognitivo, metacognitivo o de cognicion social como complemento en deterioro cognitivo, funcional o social, usualmente integrado a rehabilitacion psicosocial. Sin recomendacion retenida: VA/DoD 2024.",Moderado: 1/2 (50%); alineado/escaso; accion dominante: considera/sugiere; considera/sugiere=4,1,2,50%,APA 2020,considera/sugiere,considera/sugiere=4,mostly aligned or sparse,low,supportive,9,4
Bloque alto: AGREE-II >60%,Psychosocial and recovery interventions,Combined pharmacological and psychosocial care,Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,core,3,0
Bloque alto: AGREE-II >60%,Comorbidity and special populations,"Pregnancy, reproductive and perinatal care","APA 2020: evalua/monitoriza (1 rec; evalua/monitoriza=1). Discutir anticoncepcion, embarazo, lactancia y riesgos reproductivos con la paciente y apoyo significativo; coordinar atencion perinatal/madre-bebe y monitorizar riesgos de medicacion y recaida. Sin recomendacion retenida: VA/DoD 2024.",Moderado: 1/2 (50%); alineado/escaso; accion dominante: evalua/monitoriza; evalua/monitoriza=1,1,2,50%,APA 2020,evalua/monitoriza,evalua/monitoriza=1,mostly aligned or sparse,low,supportive,6,1
Bloque alto: AGREE-II >60%,Early psychosis and acute care,Acute antipsychotic initiation,Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); discordante; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mixed/discordant,high,core,6,0
Bloque alto: AGREE-II >60%,Antipsychotic strategy across illness phases,Antipsychotic polypharmacy and combinations,Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,supportive,3,0
Bloque alto: AGREE-II >60%,Antipsychotic strategy across illness phases,Switching and non-response before clozapine,Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,core,1,0
Bloque alto: AGREE-II >60%,Antipsychotic strategy across illness phases,"Discontinuation, tapering and dose reduction",Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,supportive,2,0
Bloque alto: AGREE-II >60%,Psychosocial and recovery interventions,"Arts, mindfulness, digital and adjunctive psychosocial interventions",Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,peripheral,1,0
Bloque alto: AGREE-II >60%,"Service delivery, continuity and implementation",Prescribing governance and off-label documentation,Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,peripheral,1,0
Bloque alto: AGREE-II >60%,"Assessment, risk and shared decision-making",Measurement-based monitoring and symptom assessment,Sin recomendacion retenida: APA 2020; VA/DoD 2024.,Ausente: 0/2 (0%); alineado/escaso; sin recomendaciones retenidas,0,2,0%,ninguna,sin recomendaciones,sin recomendaciones,not captured after curation,low,supportive,0,0
Bloque moderado-alto: AGREE-II 50-60%,Antipsychotic strategy across illness phases,LAI/depot antipsychotics and adherence,"RANZCP 2016: ofrece (2 recs; ofrece=1; considera/sugiere=1). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. Canada Dx 2017: evalua/monitoriza (1 rec; evalua/monitoriza=1). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. Canada Farmaco 2017: ofrece (2 recs; ofrece=1; en contra/no hacer=1). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. WHO mhGAP 2024: considera/sugiere (2 recs; considera/sugiere=2). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. RANZCP GRADE 2026: recomienda (4 recs; recomienda=2; ofrece=2). Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano. Sin recomendacion retenida: Canada Psicosocial 2017.",Alto: 5/6 (83%); discordante; accion dominante: ofrece; recomienda=2; ofrece=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=1,5,6,83%,Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,ofrece,recomienda=2; ofrece=4; considera/sugiere=3; en contra/no hacer=1; evalua/monitoriza=1,mixed/discordant,high,core,35,11
Bloque moderado-alto: AGREE-II 50-60%,Treatment resistance and biological interventions,Clozapine for treatment-resistant schizophrenia,"RANZCP 2016: considera/sugiere (6 recs; recomienda=1; ofrece=1; considera/sugiere=2; en contra/no hacer=2). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. Canada Farmaco 2017: ofrece (3 recs; ofrece=1; considera/sugiere=1; evalua/monitoriza=1). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. WHO mhGAP 2024: considera/sugiere (2 recs; considera/sugiere=2). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. RANZCP GRADE 2026: ofrece (1 rec; ofrece=1). Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia. Sin recomendacion retenida: Canada Dx 2017; Canada Psicosocial 2017.",Moderado: 4/6 (67%); discordante; accion dominante: considera/sugiere; recomienda=1; ofrece=3; considera/sugiere=5; en contra/no hacer=2; evalua/monitoriza=1,4,6,67%,Canada Farmaco 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,considera/sugiere,recomienda=1; ofrece=3; considera/sugiere=5; en contra/no hacer=2; evalua/monitoriza=1,mixed/discordant,high,core,62,12
