delphi_id,proceso_id,orden_proceso,orden_en_proceso,momento_clinico,bloque_del_proceso,categoria_de_recomendacion,recomendacion,enunciado_votable_delphi,que_recomiendan_guias_mayor_60,n_guias_mayor_60,n_guias_bloque_mayor_60,guias_mayor_60,consenso_mayor_60,clase_consenso_mayor_60,consenso_global,contexto_guias_50_60,senal_comparativa_global,prioridad_revision,prioridad_delphi,decision_preliminar,dominios_de_votacion,nota_para_panel
D11,P04,4,3,Durante fase aguda y estabilizacion inicial,"Monitoreo fisico, efectos adversos y adherencia","Safety, adverse effects and physical health",Smoking cessation and tobacco,"El protocolo HVLH debe evaluar tabaquismo, ofrecer apoyo para cesacion y considerar interacciones clinicas relevantes entre tabaco, hospitalizacion y metabolismo de antipsicoticos.","Evaluar tabaco y ofrecer apoyo personalizado para dejar o reducir consumo, incluyendo intervenciones conductuales, NRT u otros farmacos cuando correspondan; considerar interacciones con metabolismo de antipsicoticos.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: recomienda (2); recomienda=2; considera/sugiere=1,Consenso nuclear completo (2/2),Bajo: 6/19 guias (32%); discordante; dominante: recomienda (2); recomienda=2; ofrece=2; considera/sugiere=2; en contra/no hacer=1; evalua/monitoriza=2,Escaso: 1/6 guias (17%); discordante; 1/6: Canada Dx 2017,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D12,P04,4,4,Durante fase aguda y estabilizacion inicial,"Monitoreo fisico, efectos adversos y adherencia",Antipsychotic strategy across illness phases,LAI/depot antipsychotics and adherence,"El protocolo HVLH debe evaluar adherencia y preferencia, y ofrecer o considerar antipsicoticos de larga accion cuando exista preferencia, recaida por no adherencia, dificultad con via oral o necesidad de continuidad.","Evaluar adherencia y preferencia; ofrecer/considerar LAI/depot si el paciente lo prefiere, hay recaidas por no adherencia, dificultad para tratamiento oral o necesidad de continuidad; algunas guias los proponen temprano.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: evalua/monitoriza (4); considera/sugiere=2; evalua/monitoriza=4,Consenso nuclear completo (2/2),Moderado: 13/19 guias (68%); discordante; dominante: considera/sugiere (13); recomienda=4; ofrece=6; considera/sugiere=13; en contra/no hacer=5; evalua/monitoriza=7,Alto: 5/6 guias (83%); discordante; 5/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D13,P05,5,1,Desde fase aguda cuando sea viable y durante estabilizacion,Intervenciones psicosociales tempranas,Psychosocial and recovery interventions,CBTp and psychological therapies,"El protocolo HVLH debe considerar terapia cognitivo-conductual para psicosis u otras intervenciones psicologicas estructuradas cuando el paciente pueda participar, especialmente ante sintomas persistentes.","Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (4); recomienda=2; considera/sugiere=4; evalua/monitoriza=1,Consenso nuclear completo (2/2),Moderado: 11/19 guias (58%); discordante; dominante: ofrece (11); recomienda=8; ofrece=11; considera/sugiere=8; en contra/no hacer=1; evalua/monitoriza=1,Moderado: 4/6 guias (67%); discordante; 4/6: Canada Psicosocial 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D14,P05,5,2,Desde fase aguda cuando sea viable y durante estabilizacion,Intervenciones psicosociales tempranas,Psychosocial and recovery interventions,Family intervention and psychoeducation,"El protocolo HVLH debe ofrecer psicoeducacion e intervencion familiar para mejorar comprension, adherencia, prevencion de recaidas y plan de alta.","Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); alineado/escaso; dominante: recomienda (4); recomienda=4; considera/sugiere=4; evalua/monitoriza=1,Consenso nuclear completo (2/2),Moderado: 10/19 guias (53%); alineado/escaso; dominante: ofrece (12); recomienda=7; ofrece=12; considera/sugiere=4; evalua/monitoriza=4,Moderado: 4/6 guias (67%); alineado/escaso; 4/6: Canada Psicosocial 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,broad recurrent theme,medium,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D15,P05,5,4,Desde fase aguda cuando sea viable y durante estabilizacion,Intervenciones psicosociales tempranas,Psychosocial and recovery interventions,"Social skills, recovery and self-management","El protocolo HVLH debe incorporar entrenamiento de habilidades, recuperacion y automanejo como parte del plan de estabilizacion y continuidad.","Considerar programas manualizados de automanejo, apoyo de pares y recuperacion; incluir informacion sobre medicacion, recaida y metas; el entrenamiento de habilidades sociales no se recomienda de rutina como intervencion aislada en algunas guias.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (10); considera/sugiere=10,Consenso nuclear completo (2/2),Bajo: 5/19 guias (26%); discordante; dominante: considera/sugiere (13); recomienda=2; considera/sugiere=13; en contra/no hacer=1; evalua/monitoriza=2,Escaso: 1/6 guias (17%); discordante; 1/6: Canada Psicosocial 2017,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D16,P06,6,2,Evaluacion transversal y ajuste del plan durante toda la estancia,Comorbilidades y poblaciones especiales,Comorbidity and special populations,"Depression, anxiety, PTSD and trauma","El protocolo HVLH debe evaluar y manejar depresion, ansiedad, trauma y PTSD porque modifican riesgo, adherencia, sintomas y plan terapeutico.","Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique.",1,2,APA 2020,Moderado: 1/2 guias (50%); alineado/escaso; dominante: evalua/monitoriza (1); evalua/monitoriza=1,Consenso nuclear parcial (1/2),Bajo: 9/19 guias (47%); alineado/escaso; dominante: ofrece (4); recomienda=3; ofrece=4; considera/sugiere=3; evalua/monitoriza=3,Moderado: 3/6 guias (50%); alineado/escaso; 3/6: Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026,broad recurrent theme,medium,Media,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D17,P06,6,3,Evaluacion transversal y ajuste del plan durante toda la estancia,Comorbilidades y poblaciones especiales,Comorbidity and special populations,Negative symptoms,"El protocolo HVLH debe identificar sintomas negativos, diferenciarlos de depresion, efectos adversos o sedacion, y orientar intervenciones especificas de rehabilitacion y ajuste terapeutico.","Evaluar sintomas negativos y causas secundarias como depresion, EPS, sedacion o sustancias; considerar intervenciones psicosociales/artisticas y, si se cambia antipsicotico, opciones como agonistas parciales D2 o amisulprida segun contexto.",1,2,VA/DoD 2024,Moderado: 1/2 guias (50%); alineado/escaso; dominante: considera/sugiere (2); considera/sugiere=2,Consenso nuclear parcial (1/2),Escaso: 4/19 guias (21%); alineado/escaso; dominante: considera/sugiere (3); recomienda=1; considera/sugiere=3; evalua/monitoriza=3,Escaso: 1/6 guias (17%); alineado/escaso; 1/6: Canada Dx 2017,mostly aligned or sparse,low,Media,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D18,P06,6,4,Evaluacion transversal y ajuste del plan durante toda la estancia,Comorbilidades y poblaciones especiales,Comorbidity and special populations,"Pregnancy, reproductive and perinatal care","El protocolo HVLH debe incluir consideraciones reproductivas, embarazo y periodo perinatal en la eleccion de tratamiento, riesgos, consentimiento y coordinacion con otros servicios.","Discutir anticoncepcion, embarazo, lactancia y riesgos reproductivos con la paciente y apoyo significativo; coordinar atencion perinatal/madre-bebe y monitorizar riesgos de medicacion y recaida.",1,2,APA 2020,Moderado: 1/2 guias (50%); alineado/escaso; dominante: evalua/monitoriza (1); evalua/monitoriza=1,Consenso nuclear parcial (1/2),Escaso: 3/19 guias (16%); alineado/escaso; dominante: recomienda (3); recomienda=3; evalua/monitoriza=3,Escaso: 1/6 guias (17%); alineado/escaso; 1/6: RANZCP 2016,mostly aligned or sparse,low,Media,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D19,P07,7,2,Tras ensayo terapeutico adecuado o respuesta parcial/pobre,"No respuesta, resistencia y escalamiento terapeutico",Treatment resistance and biological interventions,Clozapine for treatment-resistant schizophrenia,"El protocolo HVLH debe considerar clozapina ante esquizofrenia resistente tras ensayos adecuados de antipsicoticos no clozapina, verificando adherencia, dosis, duracion y seguridad antes de augmentar.","Ofrecer/considerar clozapina cuando no hay respuesta adecuada a ensayos suficientes de antipsicoticos no clozapina; optimizar dosis, duracion, adherencia y niveles antes de augmentar; considerar escenarios de alto riesgo segun guia.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: considera/sugiere (13); recomienda=11; considera/sugiere=13; evalua/monitoriza=1,Consenso nuclear completo (2/2),Moderado: 12/19 guias (63%); discordante; dominante: considera/sugiere (31); recomienda=17; ofrece=8; considera/sugiere=31; en contra/no hacer=4; evalua/monitoriza=2,Moderado: 4/6 guias (67%); discordante; 4/6: Canada Farmaco 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D20,P07,7,3,Tras ensayo terapeutico adecuado o respuesta parcial/pobre,"No respuesta, resistencia y escalamiento terapeutico",Treatment resistance and biological interventions,Clozapine safety and monitoring,"El protocolo HVLH debe definir requisitos de seguridad para clozapina, incluyendo hemograma, riesgos metabolicos, cardiovasculares, convulsiones, constipacion, educacion y continuidad de monitoreo.","Usar clozapina bajo supervision especializada con disponibilidad de laboratorios; monitorizar hemograma, niveles plasmaticos, adherencia y efectos adversos; planificar discontinuacion por riesgo de rebote o recaida.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); alineado/escaso; dominante: considera/sugiere (3); considera/sugiere=3,Consenso nuclear completo (2/2),Bajo: 5/19 guias (26%); alineado/escaso; dominante: ofrece (3); recomienda=1; ofrece=3; considera/sugiere=3; evalua/monitoriza=2,Escaso: 1/6 guias (17%); alineado/escaso; 1/6: WHO mhGAP 2024,mostly aligned or sparse,low,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D21,P08,8,1,"Estabilizacion, preparacion de alta y seguimiento ambulatorio",Rehabilitacion funcional y recuperacion,Functional rehabilitation and participation,"Supported employment, education and vocational rehabilitation","El protocolo HVLH debe incluir rehabilitacion vocacional, educativa o laboral como objetivo de recuperacion cuando el estado clinico y la red de soporte lo permitan.","Ofrecer empleo apoyado/IPS a quienes desean trabajar o volver a estudiar/trabajar; considerar apoyo educativo, vocacional o prevocacional si no puede acceder aun a empleo competitivo.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); discordante; dominante: recomienda (4); recomienda=4; considera/sugiere=3; en contra/no hacer=1,Consenso nuclear completo (2/2),Bajo: 7/19 guias (37%); discordante; dominante: recomienda (10); recomienda=10; ofrece=3; considera/sugiere=3; en contra/no hacer=2; evalua/monitoriza=2,Escaso: 1/6 guias (17%); discordante; 1/6: Canada Psicosocial 2017,mixed/discordant,high,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D22,P08,8,2,"Estabilizacion, preparacion de alta y seguimiento ambulatorio",Rehabilitacion funcional y recuperacion,"Service delivery, continuity and implementation","ACT, case management and community service models","El protocolo HVLH debe planificar continuidad post-alta mediante manejo de caso, equipos comunitarios o coordinacion equivalente para pacientes con alto riesgo de recaida o baja adherencia.","Usar ACT, manejo intensivo de casos o atencion comunitaria coordinada cuando hay mala vinculacion, recaidas frecuentes, disrupcion social, falta de vivienda o alta necesidad de continuidad.",2,2,APA 2020; VA/DoD 2024,Alto: 2/2 guias (100%); alineado/escaso; dominante: recomienda (7); recomienda=7; evalua/monitoriza=4,Consenso nuclear completo (2/2),Bajo: 5/19 guias (26%); alineado/escaso; dominante: recomienda (9); recomienda=9; ofrece=1; considera/sugiere=2; evalua/monitoriza=4,Escaso: 1/6 guias (17%); alineado/escaso; 1/6: RANZCP 2016,mostly aligned or sparse,low,Alta,Incluir como enunciado nuclear,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
D23,P08,8,3,"Estabilizacion, preparacion de alta y seguimiento ambulatorio",Rehabilitacion funcional y recuperacion,Psychosocial and recovery interventions,"Cognitive remediation, metacognitive and social cognition training","El protocolo HVLH debe considerar remediacion cognitiva, intervenciones metacognitivas o cognicion social como componentes de rehabilitacion cuando existan recursos y objetivos funcionales definidos.","Considerar entrenamiento neurocognitivo, metacognitivo o de cognicion social como complemento en deterioro cognitivo, funcional o social, usualmente integrado a rehabilitacion psicosocial.",1,2,APA 2020,Moderado: 1/2 guias (50%); alineado/escaso; dominante: considera/sugiere (4); considera/sugiere=4,Consenso nuclear parcial (1/2),Escaso: 3/19 guias (16%); alineado/escaso; dominante: considera/sugiere (9); considera/sugiere=9,Ausente: 0/6 guias (0%); alineado/escaso; sin recomendaciones; 0/6: ninguna,mostly aligned or sparse,low,Media,Incluir para deliberacion Delphi,acuerdo clinico; factibilidad HVLH/EsSalud; prioridad para protocolo; claridad del enunciado,"Usar guias 50-60% y <50% solo como contexto, no como peso equivalente al nucleo >60%."
